D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,2.31108E-08,3.09269E-07,0.065396331,1.585604372,0.257911947,0.000001,0,0,0,0.369381859,0.974164746,0.058856829,0.000001,0,0,0,1.26039223,0.717122613,0.02883984,0.000001,0,0,0,2.971379664,0.73111717,0.032144154,0.000001,0,0,0,10.73410259,1.128032847,0.103011368,0.000001,0,0,0,37.62039797,0.874686951,0.225881167
0.28,0.802076642,0.823097445,0.844118248,,,,0.28,0.359533973,0.387210772,0.414887572,,,,0.28,0.010676238,0.014355713,0.018035188,,,,0.28,4.0193E-05,8.83529E-05,0.000136513,,,,0.28,1.01839E-07,1.30623E-06,2.51063E-06,,,,0.28,0,1.56067E-08,4.64451E-08,,,
0.29,0.808678579,0.828863431,0.849048283,,,,0.29,0.373892936,0.40122759,0.428562245,,,,0.29,0.012345943,0.016391344,0.020436744,,,,0.29,5.30911E-05,0.000112522,0.000171953,,,,0.29,1.83043E-07,1.75039E-06,3.31774E-06,,,,0.29,0,2.16012E-08,6.32271E-08,,,
0.3,0.814916775,0.834318477,0.853720179,,,,0.3,0.387907477,0.414878884,0.441850291,,,,0.3,0.014164876,0.018585198,0.023005521,,,,0.3,6.9071E-05,0.000141607,0.000214143,,,,0.3,2.99516E-07,2.31326E-06,4.32701E-06,,,,0.3,0,2.94554E-08,8.4861E-08,,,
0.31,0.820818939,0.839486429,0.858153919,,,,0.31,0.401577756,0.428169323,0.45476089,,,,0.31,0.016134703,0.020937349,0.025739994,,,,0.31,8.86266E-05,0.000176262,0.000263897,,,,0.31,4.61326E-07,3.01817E-06,5.57502E-06,,,,0.31,0,3.96145E-08,1.12412E-07,,,
0.32,0.826410069,0.844388753,0.862367436,,,,0.32,0.41490548,0.441104568,0.467303655,,,,0.32,0.018256432,0.023447241,0.02863805,,,,0.32,0.00011229,0.000217176,0.000322062,,,,0.32,6.8034E-07,3.89134E-06,7.10234E-06,,,,0.32,0,5.25994E-08,1.47105E-07,,,
0.33,0.831712781,0.849044826,0.866376872,,,,0.33,0.427893629,0.453691058,0.479488487,,,,0.33,0.020530442,0.026113751,0.03169706,,,,0.33,0.00014063,0.000265072,0.000389513,,,,0.33,9.70377E-07,4.96198E-06,8.95359E-06,,,,0.33,0,6.90134E-08,1.90338E-07,,,
0.34,0.836747584,0.85347219,0.870196796,,,,0.34,0.440546229,0.465935834,0.49132544,,,,0.34,0.022956528,0.028935231,0.034913933,,,,0.34,0.000174249,0.0003207,0.000467151,,,,0.34,1.34733E-06,6.26244E-06,1.11775E-05,,,,0.34,0,8.95498E-08,2.4369E-07,,,
0.35,0.841533125,0.85768676,0.873840396,,,,0.35,0.45286815,0.477846392,0.502824635,,,,0.35,0.025533946,0.031909562,0.038285178,,,,0.35,0.000213784,0.00038484,0.000555896,,,,0.35,1.82932E-06,7.82822E-06,1.38271E-05,,,,0.35,0,1.14999E-07,3.08937E-07,,,
0.36,0.84608639,0.861703014,0.877319638,,,,0.36,0.464864948,0.489430558,0.513996169,,,,0.36,0.028261454,0.035034206,0.041806958,,,,0.36,0.000259899,0.00045829,0.000656682,,,,0.36,2.43676E-06,9.69806E-06,1.69594E-05,,,,0.36,0,1.46255E-07,3.88057E-07,,,
0.37,0.85042289,0.865534149,0.880645409,,,,0.37,0.476542715,0.500696387,0.52485006,,,,0.37,0.031137352,0.038306245,0.045475139,,,,0.37,0.000313287,0.000541871,0.000770455,,,,0.37,3.19251E-06,1.1914E-05,2.06355E-05,,,,0.37,0,1.84323E-07,4.83243E-07,,,
