D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.26,0.756692948,0.770988951,0.785284954,,,,0.26,0.387228327,0.402846729,0.418465131,,,,0.26,0.047028022,0.051040668,0.055053315,,,,0.26,0.002568565,0.002941672,0.003314778,,,,0.26,0.00024334,0.000301058,0.000358775,,,,0.26,7.53451E-06,1.14635E-05,1.53925E-05,,,
0.27,0.764146203,0.777995527,0.79184485,,,,0.27,0.398116509,0.413643839,0.42917117,,,,0.27,0.050339023,0.054531779,0.058724535,,,,0.27,0.002866823,0.003274909,0.003682995,,,,0.27,0.000277777,0.000342433,0.00040709,,,,0.27,8.85531E-06,1.33837E-05,1.79121E-05,,,
0.28,0.771255705,0.784678151,0.798100597,,,,0.28,0.408748614,0.424175626,0.439602639,,,,0.28,0.053724377,0.058094975,0.062465573,,,,0.28,0.003185279,0.003629846,0.004074412,,,,0.28,0.000315388,0.000387469,0.00045955,,,,0.28,1.03405E-05,1.55294E-05,2.07183E-05,,,
0.29,0.778044232,0.791058715,0.804073198,,,,0.29,0.419132255,0.434450891,0.449769526,,,,0.29,0.057180785,0.061726809,0.066272834,,,,0.29,0.003524292,0.004006811,0.004489329,,,,0.29,0.000356311,0.00043631,0.000516309,,,,0.29,1.20025E-05,1.79162E-05,2.38299E-05,,,
0.3,0.784532497,0.79715708,0.809781664,,,,0.3,0.429274799,0.444478062,0.459681325,,,,0.3,0.060705049,0.065423959,0.070142869,,,,0.3,0.003884193,0.004406105,0.004928017,,,,0.3,0.000400681,0.000489099,0.000577517,,,,0.3,1.38539E-05,2.05599E-05,2.72658E-05,,,
0.31,0.790739388,0.802991319,0.81524325,,,,0.31,0.439183365,0.454265213,0.469347062,,,,0.31,0.064294078,0.069183219,0.074072361,,,,0.31,0.004265289,0.004828003,0.005390717,,,,0.31,0.000448631,0.000545975,0.00064332,,,,0.31,1.59077E-05,2.34765E-05,3.10453E-05,,,
0.32,0.796682178,0.808577923,0.820473668,,,,0.32,0.448864834,0.463820082,0.478775329,,,,0.32,0.067944882,0.073001504,0.078058126,,,,0.32,0.004667864,0.005272755,0.005877646,,,,0.32,0.000500291,0.000607075,0.000713858,,,,0.32,1.81772E-05,2.66825E-05,3.51877E-05,,,
0.33,0.802376703,0.813931982,0.82548726,,,,0.33,0.458325853,0.473150081,0.48797431,,,,0.33,0.071654566,0.076875835,0.082097105,,,,0.33,0.005092176,0.005740585,0.006388994,,,,0.33,0.000555789,0.00067253,0.000789272,,,,0.33,2.06759E-05,3.01942E-05,3.97125E-05,,,
0.34,0.807837514,0.819067333,0.830297153,,,,0.34,0.467572837,0.482262321,0.496951805,,,,0.34,0.075420333,0.080803345,0.086186356,,,,0.34,0.005538463,0.006231695,0.006924928,,,,0.34,0.000615251,0.000742472,0.000869694,,,,0.34,2.34173E-05,3.40285E-05,4.46396E-05,,,
0.35,0.813078013,0.8239967,0.834915387,,,,0.35,0.476611983,0.491163619,0.505715254,,,,0.35,0.079239477,0.084781266,0.090323054,,,,0.35,0.006006939,0.006746265,0.007485591,,,,0.35,0.000678799,0.000817026,0.000955254,,,,0.35,2.64155E-05,3.82021E-05,4.99887E-05,,,
