D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.39,0.826441246,0.843757193,0.86107314,,,,0.39,0.503891175,0.526507837,0.549124499,,,,0.39,0.07511223,0.084392456,0.093672683,,,,0.39,0.0038804,0.004917963,0.005955526,,,,0.39,0.000189838,0.000283405,0.000376971,,,,0.39,4.36123E-06,9.97956E-06,1.55979E-05,,,
0.4,0.83155051,0.848392309,0.865234109,,,,0.4,0.512238495,0.534636656,0.557034816,,,,0.4,0.078614598,0.088142873,0.097671148,,,,0.4,0.004204009,0.005309515,0.006415021,,,,0.4,0.000210874,0.00031307,0.000415267,,,,0.4,4.98836E-06,1.1265E-05,1.75417E-05,,,
0.41,0.836460209,0.852849687,0.869239166,,,,0.41,0.520401001,0.542580407,0.564759814,,,,0.41,0.082164272,0.091936423,0.101708574,,,,0.41,0.004544146,0.005719692,0.006895238,,,,0.41,0.00023355,0.000344885,0.00045622,,,,0.41,5.6838E-06,1.26742E-05,1.96646E-05,,,
0.42,0.841180219,0.857138206,0.873096193,,,,0.42,0.528383636,0.550344453,0.57230527,,,,0.42,0.085759319,0.095771094,0.105782868,,,,0.42,0.004901086,0.006148738,0.00739639,,,,0.42,0.000257941,0.000378934,0.000499926,,,,0.42,6.45264E-06,1.42149E-05,2.19772E-05,,,
0.43,0.845719806,0.86126617,0.876812533,,,,0.43,0.536191205,0.557933967,0.57967673,,,,0.43,0.089397853,0.099644931,0.109892009,,,,0.43,0.005275091,0.006596881,0.007918671,,,,0.43,0.000284121,0.000415302,0.000546483,,,,0.43,7.30019E-06,1.58954E-05,2.44907E-05,,,
0.44,0.850087679,0.865241358,0.880395038,,,,0.44,0.543828376,0.565353945,0.586879514,,,,0.44,0.093078039,0.10355604,0.114034042,,,,0.44,0.005666411,0.007064338,0.008462265,,,,0.44,0.000312165,0.000454075,0.000595986,,,,0.44,8.23197E-06,1.77241E-05,2.72162E-05,,,
0.45,0.854292027,0.869071066,0.883850104,,,,0.45,0.551299687,0.57260921,0.593918734,,,,0.45,0.096798088,0.107502583,0.118207079,,,,0.45,0.006075286,0.007551312,0.009027338,,,,0.45,0.000342146,0.000495338,0.000648531,,,,0.45,9.25367E-06,1.97094E-05,3.01652E-05,,,
0.46,0.858340562,0.872762138,0.887183715,,,,0.46,0.558609542,0.579704421,0.600799299,,,,0.46,0.100556256,0.111482776,0.122409297,,,,0.46,0.006501943,0.008057994,0.009614045,,,,0.46,0.000374141,0.000539177,0.000704213,,,,0.46,1.03712E-05,2.18604E-05,3.33495E-05,,,
0.47,0.86224055,0.876321012,0.890401474,,,,0.47,0.565762221,0.586644074,0.607525928,,,,0.47,0.104350848,0.11549489,0.126638933,,,,0.47,0.006946601,0.008584563,0.010222526,,,,0.47,0.000408225,0.000585676,0.000763127,,,,0.47,1.15907E-05,2.4186E-05,3.67812E-05,,,
0.48,0.865998845,0.87975374,0.893508635,,,,0.48,0.572761875,0.593432517,0.614103159,,,,0.48,0.10818021,0.119537247,0.130894285,,,,0.48,0.007409464,0.009131187,0.010852909,,,,0.48,0.000444474,0.000634921,0.000825367,,,,0.48,1.29184E-05,2.66955E-05,4.04725E-05,,,
