D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.26,0.626601444,0.637717872,0.6488343,,,,0.26,0.326301115,0.337202695,0.348104275,,,,0.26,0.012449466,0.013562445,0.014675424,,,,0.26,0.000157076,0.000187216,0.000217357,,,,0.26,2.28617E-05,2.86662E-05,3.44706E-05,,,,0.26,1.23724E-07,1.76423E-07,2.29122E-07,,,
0.27,0.642588021,0.653253952,0.663919883,,,,0.27,0.344404608,0.355252534,0.366100459,,,,0.27,0.014318766,0.01555389,0.016789014,,,,0.27,0.000196081,0.000232739,0.000269398,,,,0.27,2.93243E-05,3.65795E-05,4.38347E-05,,,,0.27,1.68029E-07,2.37941E-07,3.07854E-07,,,
0.28,0.657684142,0.667923076,0.67816201,,,,0.28,0.362099548,0.37287041,0.383641272,,,,0.28,0.016349094,0.017710913,0.019072732,,,,0.28,0.000242249,0.000286407,0.000330566,,,,0.28,3.71847E-05,4.61563E-05,5.51278E-05,,,,0.28,2.25119E-07,3.16686E-07,4.08252E-07,,,
0.29,0.671939914,0.681775804,0.691611694,,,,0.29,0.379362014,0.390036412,0.400710809,,,,0.29,0.018542624,0.020035194,0.021527764,,,,0.29,0.00029644,0.000349162,0.000401884,,,,0.29,4.66555E-05,5.76399E-05,6.86242E-05,,,,0.29,2.97843E-07,4.16358E-07,5.34873E-07,,,
0.3,0.685404072,0.694860822,0.704317572,,,,0.3,0.396174714,0.406736815,0.417298916,,,,0.3,0.020900963,0.022527835,0.024154707,,,,0.3,0.000359561,0.00042199,0.000484419,,,,0.3,5.79674E-05,7.12932E-05,8.4619E-05,,,,0.3,3.89501E-07,5.4122E-07,6.9294E-07,,,
0.31,0.698123604,0.707224686,0.716325769,,,,0.31,0.412526031,0.42296315,0.433400269,,,,0.31,0.023425178,0.025189392,0.026953605,,,,0.31,0.000432561,0.000505921,0.000579281,,,,0.31,7.13698E-05,8.73988E-05,0.000103428,,,,0.31,5.03891E-07,6.96145E-07,8.88399E-07,,,
0.32,0.7101435,0.718911671,0.727679842,,,,0.32,0.428409162,0.438711368,0.449013575,,,,0.32,0.026115832,0.028019911,0.02992399,,,,0.32,0.000516428,0.000602022,0.000687616,,,,0.32,8.71304E-05,0.000106258,0.000125387,,,,0.32,6.45346E-07,8.86661E-07,1.12798E-06,,,
0.33,0.721506602,0.729963693,0.738420785,,,,0.33,0.443821355,0.45398111,0.464140865,,,,0.33,0.028973004,0.031018961,0.033064918,,,,0.33,0.00061219,0.000711398,0.000810606,,,,0.33,0.000105535,0.000128193,0.000150851,,,,0.33,8.18783E-07,1.119E-06,1.41923E-06,,,
0.34,0.73225352,0.740420301,0.748587082,,,,0.34,0.458763239,0.468775066,0.478786892,,,,0.34,0.031996327,0.034185666,0.036375005,,,,0.34,0.000720909,0.000835186,0.000949463,,,,0.34,0.000126889,0.000153543,0.000180198,,,,0.34,1.02974E-06,1.40017E-06,1.77059E-06,,,
0.35,0.742422609,0.750318696,0.758214783,,,,0.35,0.473238236,0.483098419,0.492958602,,,,0.35,0.035185011,0.037518736,0.03985246,,,,0.35,0.000843679,0.000974551,0.001105424,,,,0.35,0.000151513,0.000182667,0.00021382,,,,0.35,1.28443E-06,1.73793E-06,2.19144E-06,,,
0.36,0.752049988,0.759693796,0.767337604,,,,0.36,0.487252048,0.49695837,0.506664692,,,,0.36,0.038537869,0.041016495,0.043495122,,,,0.36,0.000981622,0.001130687,0.001279751,,,,0.36,0.000179748,0.000215939,0.000252131,,,,0.36,1.58978E-06,2.14095E-06,2.69213E-06,,,
0.37,0.761169586,0.768578315,0.775987044,,,,0.37,0.500812219,0.510363723,0.519915226,,,,0.37,0.042053345,0.044676915,0.047300486,,,,0.37,0.001135887,0.001304806,0.001473724,,,,0.37,0.000211951,0.000253755,0.000295559,,,,0.37,1.95344E-06,2.61875E-06,3.28405E-06,,,
0.38,0.769813213,0.777002857,0.784192501,,,,0.38,0.513927757,0.523324537,0.532721317,,,,0.38,0.045729538,0.048497635,0.051265732,,,,0.38,0.001307643,0.00149814,0.001688638,,,,0.38,0.000248494,0.000296522,0.000344551,,,,0.38,2.38391E-06,3.18179E-06,3.97967E-06,,,
0.39,0.778010645,0.784996021,0.791981396,,,,0.39,0.526608811,0.53585183,0.54509485,,,,0.39,0.049564227,0.052475992,0.055387758,,,,0.39,0.00149808,0.001711938,0.001925796,,,,0.39,0.000289767,0.000344668,0.000399568,,,,0.39,2.89046E-06,3.84152E-06,4.79258E-06,,,
0.4,0.785789717,0.792584507,0.799379297,,,,0.4,0.538866395,0.547957329,0.557048262,,,,0.4,0.05355489,0.056609045,0.059663199,,,,0.4,0.001708401,0.001947456,0.002186512,,,,0.4,0.000336174,0.00039863,0.000461087,,,,0.4,3.48327E-06,4.6104E-06,5.73753E-06,,,
0.41,0.793176428,0.799793233,0.806410038,,,,0.41,0.550712159,0.559653254,0.568594349,,,,0.41,0.057698729,0.060893595,0.06408846,,,,0.41,0.001939822,0.002205961,0.002472099,,,,0.41,0.000388134,0.000458864,0.000529595,,,,0.41,4.17343E-06,5.50194E-06,6.83045E-06,,,
0.42,0.800195037,0.806645435,0.813095832,,,,0.42,0.562158195,0.570952152,0.579746108,,,,0.42,0.061992694,0.065326213,0.068659731,,,,0.42,0.002193567,0.002488719,0.002783871,,,,0.42,0.000446078,0.000525836,0.000605594,,,,0.42,4.97295E-06,6.53074E-06,8.08853E-06,,,
0.43,0.806868171,0.81316278,0.819457389,,,,0.43,0.573216871,0.581866742,0.590516613,,,,0.43,0.066433495,0.069903255,0.073373016,,,,0.43,0.002470863,0.002797,0.003123137,,,,0.43,0.000510452,0.000600024,0.000689596,,,,0.43,5.89483E-06,7.71251E-06,9.53019E-06,,,
0.44,0.813216924,0.819365469,0.825514014,,,,0.44,0.583900698,0.5924098,0.600918903,,,,0.44,0.071017629,0.074620889,0.078224149,,,,0.44,0.002772939,0.003132067,0.003491194,,,,0.44,0.000581712,0.000681917,0.000782123,,,,0.44,6.95307E-06,9.06411E-06,1.11752E-05,,,
0.45,0.819260959,0.825272334,0.831283708,,,,0.45,0.594222217,0.602594061,0.610965904,,,,0.45,0.075741398,0.079475109,0.08320882,,,,0.45,0.003101022,0.003495176,0.003889331,,,,0.45,0.000660324,0.000772014,0.000883704,,,,0.45,8.16269E-06,1.06036E-05,1.30445E-05,,,
0.46,0.825018597,0.83090093,0.836783264,,,,0.46,0.604193911,0.612432134,0.620670356,,,,0.46,0.080600924,0.084461755,0.088322586,,,,0.46,0.003456333,0.003887574,0.004318816,,,,0.46,0.000746765,0.00087082,0.000994875,,,,0.46,9.53977E-06,1.23501E-05,1.51605E-05,,,
0.47,0.830506914,0.836267631,0.842028349,,,,0.47,0.613828127,0.621936444,0.630044761,,,,0.47,0.085592168,0.089576533,0.093560898,,,,0.47,0.003840082,0.004310491,0.004780901,,,,0.47,0.000841519,0.000978849,0.00111618,,,,0.47,1.11015E-05,1.43242E-05,1.75469E-05,,,
