Fatalities,,,,parameters of the mean loss curve,,
0.43,2.8266E-05,6.21739E-05,9.60818E-05,,,
0.44,3.01515E-05,6.56806E-05,0.00010121,,,
0.45,3.21127E-05,6.93004E-05,0.000106488,,,
0.46,3.41508E-05,7.30343E-05,0.000111918,,,
0.47,3.62669E-05,7.68835E-05,0.0001175,,,
0.48,3.84621E-05,8.0849E-05,0.000123236,,,
0.49,4.07375E-05,8.49317E-05,0.000129126,,,
0.5,4.30942E-05,8.91327E-05,0.000135171,,,
0.51,4.55333E-05,9.3453E-05,0.000141373,,,
0.52,4.80559E-05,9.78936E-05,0.000147731,,,
0.53,5.0663E-05,0.000102455,0.000154248,,,
0.54,5.33556E-05,0.000107139,0.000160923,,,
0.55,5.61349E-05,0.000111947,0.000167759,,,
0.56,5.90018E-05,0.000116878,0.000174754,,,
0.57,6.19573E-05,0.000121935,0.000181912,,,
0.58,6.50026E-05,0.000127117,0.000189231,,,
0.59,6.81386E-05,0.000132426,0.000196714,,,
0.6,7.13663E-05,0.000137864,0.000204361,,,
0.61,7.46868E-05,0.00014343,0.000212172,,,
0.62,7.81009E-05,0.000149125,0.000220149,,,
0.63,8.16098E-05,0.000154951,0.000228293,,,
0.64,8.52143E-05,0.000160909,0.000236603,,,
0.65,8.89154E-05,0.000166999,0.000245082,,,
0.66,9.27142E-05,0.000173222,0.000253729,,,
0.67,9.66115E-05,0.000179579,0.000262546,,,
0.68,0.000100608,0.00018607,0.000271533,,,
0.69,0.000104706,0.000192698,0.000280691,,,
0.7,0.000108904,0.000199462,0.00029002,,,
0.71,0.000113205,0.000206364,0.000299522,,,
0.72,0.00011761,0.000213403,0.000309197,,,
0.73,0.000122118,0.000220582,0.000319046,,,
0.74,0.000126732,0.000227901,0.00032907,,,
0.75,0.000131451,0.00023536,0.000339269,,,
0.76,0.000136278,0.000242961,0.000349644,,,
0.77,0.000141212,0.000250704,0.000360196,,,
0.78,0.000146255,0.00025859,0.000370925,,,
0.79,0.000151408,0.00026662,0.000381832,,,
0.8,0.000156671,0.000274794,0.000392917,,,
0.81,0.000162046,0.000283114,0.000404183,,,
0.82,0.000167533,0.00029158,0.000415628,,,
0.83,0.000173133,0.000300193,0.000427254,,,
0.84,0.000178847,0.000308954,0.000439061,,,
0.85,0.000184676,0.000317863,0.000451051,,,
0.86,0.000190621,0.000326922,0.000463223,,,
0.87,0.000196682,0.00033613,0.000475578,,,
0.88,0.00020286,0.000345489,0.000488117,,,
0.89,0.000209157,0.000354999,0.000500841,,,
0.9,0.000215574,0.000364662,0.00051375,,,
0.91,0.00022211,0.000374477,0.000526844,,,
0.92,0.000228766,0.000384446,0.000540126,,,
0.93,0.000235545,0.000394569,0.000553594,,,
0.94,0.000242446,0.000404848,0.000567249,,,
0.95,0.00024947,0.000415282,0.000581093,,,
0.96,0.000256618,0.000425872,0.000595126,,,
0.97,0.000263892,0.00043662,0.000609348,,,
0.98,0.000271291,0.000447525,0.00062376,,,
0.99,0.000278816,0.000458589,0.000638362,,,
1,0.000286469,0.000469813,0.000653156,,,
1.01,0.00029425,0.000481196,0.000668141,,,
1.02,0.00030216,0.00049274,0.000683319,,,
1.03,0.0003102,0.000504445,0.000698689,,,
1.04,0.00031837,0.000516312,0.000714253,,,
1.05,0.000326672,0.000528341,0.000730011,,,
1.06,0.000335105,0.000540534,0.000745963,,,
1.07,0.000343672,0.000552891,0.00076211,,,
1.08,0.000352372,0.000565412,0.000778453,,,
1.09,0.000361207,0.000578099,0.000794991,,,
1.1,0.000370177,0.000590952,0.000811727,,,
1.11,0.000379282,0.000603971,0.00082866,,,
1.12,0.000388525,0.000617157,0.00084579,,,
1.13,0.000397905,0.000630512,0.000863118,,,
1.14,0.000407423,0.000644035,0.000880646,,,
1.15,0.000417081,0.000657727,0.000898372,,,
1.16,0.000426878,0.000671588,0.000916299,,,
1.17,0.000436816,0.00068562,0.000934425,,,
1.18,0.000446894,0.000699824,0.000952753,,,
1.19,0.000457115,0.000714198,0.000971282,,,
1.2,0.000467479,0.000728746,0.000990012,,,
1.21,0.000477986,0.000743466,0.001008945,,,
1.22,0.000488638,0.000758359,0.001028081,,,
1.23,0.000499434,0.000773427,0.00104742,,,
1.24,0.000510376,0.000788669,0.001066962,,,
1.25,0.000521465,0.000804087,0.001086709,,,
1.26,0.000532701,0.000819681,0.001106661,,,
1.27,0.000544084,0.000835451,0.001126818,,,
1.28,0.000555616,0.000851399,0.001147181,,,
1.29,0.000567298,0.000867524,0.00116775,,,
1.3,0.00057913,0.000883827,0.001188525,,,
1.31,0.000591112,0.00090031,0.001209508,,,
1.32,0.000603246,0.000916972,0.001230698,,,
1.33,0.000615532,0.000933814,0.001252097,,,
1.34,0.000627971,0.000950837,0.001273703,,,
1.35,0.000640563,0.000968041,0.001295519,,,
1.36,0.00065331,0.000985427,0.001317544,,,
1.37,0.000666211,0.001002996,0.00133978,,,
1.38,0.000679269,0.001020747,0.001362225,,,
1.39,0.000692483,0.001038682,0.001384881,,,
1.4,0.000705853,0.001056801,0.001407749,,,
1.41,0.000719382,0.001075105,0.001430828,,,
1.42,0.000733069,0.001093594,0.001454119,,,
1.43,0.000746915,0.001112269,0.001477623,,,
1.44,0.000760921,0.00113113,0.00150134,,,
1.45,0.000775088,0.001150179,0.00152527,,,
1.46,0.000789415,0.001169415,0.001549414,,,
1.47,0.000803905,0.001188838,0.001573772,,,
1.48,0.000818557,0.001208451,0.001598345,,,
1.49,0.000833372,0.001228253,0.001623133,,,
1.5,0.000848351,0.001248244,0.001648137,,,
1.51,0.000863495,0.001268426,0.001673356,,,
1.52,0.000878803,0.001288798,0.001698792,,,
1.53,0.000894278,0.001309362,0.001724445,,,
1.54,0.000909919,0.001330117,0.001750315,,,
1.55,0.000925728,0.001351065,0.001776403,,,
1.56,0.000941704,0.001372206,0.001802708,,,
1.57,0.000957849,0.00139354,0.001829232,,,
1.58,0.000974162,0.001415069,0.001855975,,,
1.59,0.000990646,0.001436791,0.001882937,,,
1.6,0.0010073,0.001458709,0.001910118,,,
1.61,0.001024126,0.001480823,0.00193752,,,
1.62,0.001041123,0.001503132,0.001965142,,,
1.63,0.001058292,0.001525638,0.001992984,,,
1.64,0.001075634,0.001548341,0.002021048,,,
1.65,0.00109315,0.001571242,0.002049334,,,
1.66,0.001110841,0.001594341,0.002077841,,,
1.67,0.001128706,0.001617639,0.002106571,,,
1.68,0.001146747,0.001641135,0.002135524,,,
1.69,0.001164964,0.001664832,0.002164699,,,
1.7,0.001183358,0.001688728,0.002194098,,,
1.71,0.00120193,0.001712825,0.002223721,,,
1.72,0.001220679,0.001737124,0.002253568,,,
1.73,0.001239608,0.001761624,0.00228364,,,
1.74,0.001258715,0.001786326,0.002313936,,,
1.75,0.001278003,0.001811231,0.002344458,,,
1.76,0.001297471,0.001836339,0.002375206,,,
1.77,0.001317121,0.00186165,0.00240618,,,
1.78,0.001336952,0.001887166,0.00243738,,,
1.79,0.001356966,0.001912886,0.002468807,,,
1.8,0.001377163,0.001938812,0.002500461,,,
1.81,0.001397543,0.001964943,0.002532342,,,
1.82,0.001418108,0.00199128,0.002564452,,,
1.83,0.001438857,0.002017823,0.002596789,,,
1.84,0.001459792,0.002044574,0.002629355,,,
1.85,0.001480914,0.002071532,0.00266215,,,
1.86,0.001502222,0.002098698,0.002695174,,,
1.87,0.001523717,0.002126072,0.002728428,,,
1.88,0.0015454,0.002153656,0.002761912,,,
1.89,0.001567272,0.002181449,0.002795626,,,
1.9,0.001589332,0.002209451,0.00282957,,,
1.91,0.001611583,0.002237664,0.002863746,,,
1.92,0.001634023,0.002266088,0.002898153,,,
1.93,0.001656655,0.002294723,0.002932791,,,
1.94,0.001679478,0.00232357,0.002967661,,,
1.95,0.001702493,0.002352628,0.003002764,,,
1.96,0.001725701,0.0023819,0.003038099,,,
1.97,0.001749102,0.002411384,0.003073667,,,
1.98,0.001772696,0.002441082,0.003109469,,,
1.99,0.001796485,0.002470994,0.003145504,,,
2,0.001820469,0.002501121,0.003181772,,,
2.01,0.001844649,0.002531462,0.003218275,,,
2.02,0.001869025,0.002562019,0.003255013,,,
2.03,0.001893597,0.002592791,0.003291986,,,
2.04,0.001918367,0.00262378,0.003329193,,,
2.05,0.001943334,0.002654985,0.003366636,,,
2.06,0.0019685,0.002686408,0.003404315,,,
2.07,0.001993865,0.002718048,0.00344223,,,
2.08,0.00201943,0.002749906,0.003480382,,,
2.09,0.002045194,0.002781982,0.00351877,,,
2.1,0.00207116,0.002814278,0.003557395,,,
2.11,0.002097326,0.002846792,0.003596258,,,
2.12,0.002123695,0.002879526,0.003635358,,,
2.13,0.002150265,0.002912481,0.003674696,,,
2.14,0.002177039,0.002945656,0.003714273,,,
2.15,0.002204016,0.002979052,0.003754088,,,
2.16,0.002231197,0.003012669,0.003794141,,,
2.17,0.002258583,0.003046509,0.003834434,,,
2.18,0.002286174,0.00308057,0.003874967,,,
2.19,0.00231397,0.003114854,0.003915739,,,
2.2,0.002341973,0.003149362,0.003956751,,,
2.21,0.002370183,0.003184093,0.003998003,,,
2.22,0.002398599,0.003219048,0.004039496,,,
2.23,0.002427224,0.003254227,0.00408123,,,
2.24,0.002456057,0.003289631,0.004123205,,,
2.25,0.0024851,0.003325261,0.004165422,,,
2.26,0.002514351,0.003361116,0.00420788,,,
2.27,0.002543813,0.003397197,0.00425058,,,
2.28,0.002573486,0.003433504,0.004293522,,,
2.29,0.002603369,0.003470038,0.004336707,,,
2.3,0.002633464,0.0035068,0.004380135,,,
2.31,0.002663771,0.003543789,0.004423806,,,
2.32,0.002694292,0.003581006,0.004467721,,,
2.33,0.002725025,0.003618452,0.004511879,,,
2.34,0.002755972,0.003656126,0.004556281,,,
2.35,0.002787133,0.00369403,0.004600927,,,
2.36,0.00281851,0.003732164,0.004645817,,,
2.37,0.002850101,0.003770527,0.004690953,,,
2.38,0.002881909,0.003809121,0.004736333,,,
2.39,0.002913933,0.003847946,0.004781959,,,
2.4,0.002946174,0.003887002,0.00482783,,,
2.41,0.002978632,0.003926289,0.004873947,,,
2.42,0.003011308,0.003965809,0.00492031,,,
2.43,0.003044203,0.004005561,0.004966919,,,
2.44,0.003077317,0.004045546,0.005013775,,,
2.45,0.00311065,0.004085764,0.005060877,,,
2.46,0.003144204,0.004126215,0.005108227,,,
2.47,0.003177978,0.004166901,0.005155824,,,
2.48,0.003211973,0.004207821,0.005203669,,,
2.49,0.003246189,0.004248975,0.005251761,,,
2.5,0.003280628,0.004290365,0.005300102,,,
2.51,0.003315289,0.00433199,0.00534869,,,
2.52,0.003350173,0.004373851,0.005397528,,,
2.53,0.003385281,0.004415948,0.005446614,,,
2.54,0.003420613,0.004458281,0.005495949,,,
2.55,0.00345617,0.004500852,0.005545534,,,
2.56,0.003491952,0.00454366,0.005595368,,,
2.57,0.003527959,0.004586705,0.005645451,,,
2.58,0.003564192,0.004629989,0.005695785,,,
2.59,0.003600652,0.004673511,0.005746369,,,
2.6,0.003637339,0.004717271,0.005797204,,,
2.61,0.003674254,0.004761271,0.005848289,,,
2.62,0.003711397,0.004805511,0.005899625,,,
2.63,0.003748768,0.00484999,0.005951213,,,
2.64,0.003786368,0.00489471,0.006003051,,,
2.65,0.003824198,0.00493967,0.006055142,,,
2.66,0.003862258,0.004984871,0.006107484,,,
2.67,0.003900548,0.005030313,0.006160079,,,
2.68,0.00393907,0.005075997,0.006212925,,,
2.69,0.003977822,0.005121923,0.006266025,,,
2.7,0.004016807,0.005168092,0.006319377,,,
2.71,0.004056024,0.005214503,0.006372982,,,
2.72,0.004095475,0.005261157,0.00642684,,,
2.73,0.004135158,0.005308055,0.006480951,,,
2.74,0.004175076,0.005355196,0.006535317,,,
2.75,0.004215227,0.005402582,0.006589936,,,
2.76,0.004255614,0.005450212,0.006644809,,,
2.77,0.004296236,0.005498086,0.006699937,,,
2.78,0.004337093,0.005546206,0.006755319,,,
2.79,0.004378187,0.005594572,0.006810956,,,
2.8,0.004419518,0.005643183,0.006866847,,,
2.81,0.004461086,0.00569204,0.006922994,,,
2.82,0.004502891,0.005741144,0.006979397,,,
2.83,0.004544935,0.005790494,0.007036054,,,
2.84,0.004587217,0.005840092,0.007092968,,,
2.85,0.004629738,0.005889938,0.007150137,,,
2.86,0.004672498,0.005940031,0.007207563,,,
2.87,0.004715499,0.005990372,0.007265245,,,
2.88,0.00475874,0.006040962,0.007323184,,,
2.89,0.004802222,0.0060918,0.007381379,,,
2.9,0.004845945,0.006142888,0.007439831,,,
2.91,0.00488991,0.006194225,0.007498541,,,
2.92,0.004934117,0.006245812,0.007557508,,,
2.93,0.004978567,0.006297649,0.007616732,,,
2.94,0.005023259,0.006349737,0.007676215,,,
2.95,0.005068196,0.006402075,0.007735955,,,
2.96,0.005113377,0.006454665,0.007795953,,,
2.97,0.005158802,0.006507506,0.00785621,,,
2.98,0.005204472,0.006560598,0.007916725,,,
2.99,0.005250387,0.006613943,0.007977499,,,
3,0.005296548,0.00666754,0.008038532,,,
3.01,0.005342956,0.006721389,0.008099823,,,
3.02,0.00538961,0.006775492,0.008161375,,,
3.03,0.005436511,0.006829848,0.008223185,,,
3.04,0.00548366,0.006884458,0.008285255,,,
3.05,0.005531057,0.006939321,0.008347585,,,
3.06,0.005578702,0.006994439,0.008410175,,,
3.07,0.005626596,0.007049811,0.008473026,,,
3.08,0.00567474,0.007105438,0.008536136,,,
3.09,0.005723133,0.00716132,0.008599507,,,
3.1,0.005771776,0.007217458,0.008663139,,,
3.11,0.00582067,0.007273851,0.008727032,,,
3.12,0.005869816,0.007330501,0.008791186,,,
3.13,0.005919212,0.007387406,0.008855601,,,
3.14,0.005968861,0.007444569,0.008920277,,,
3.15,0.006018761,0.007501988,0.008985215,,,
3.16,0.006068915,0.007559665,0.009050415,,,
3.17,0.006119322,0.007617599,0.009115876,,,
3.18,0.006169982,0.007675791,0.0091816,,,
3.19,0.006220896,0.007734241,0.009247586,,,
3.2,0.006272065,0.00779295,0.009313834,,,
3.21,0.006323489,0.007851917,0.009380345,,,
3.22,0.006375168,0.007911143,0.009447119,,,
3.23,0.006427102,0.007970629,0.009514156,,,
3.24,0.006479293,0.008030374,0.009581455,,,
3.25,0.00653174,0.008090379,0.009649018,,,
3.26,0.006584444,0.008150644,0.009716844,,,
3.27,0.006637406,0.00821117,0.009784934,,,
3.28,0.006690625,0.008271956,0.009853288,,,
3.29,0.006744102,0.008333004,0.009921905,,,
3.3,0.006797838,0.008394312,0.009990786,,,
3.31,0.006851833,0.008455882,0.010059932,,,
3.32,0.006906087,0.008517714,0.010129341,,,
3.33,0.006960601,0.008579808,0.010199016,,,
3.34,0.007015375,0.008642165,0.010268954,,,
3.35,0.00707041,0.008704784,0.010339158,,,
3.36,0.007125706,0.008767666,0.010409626,,,
3.37,0.007181263,0.008830811,0.01048036,,,
3.38,0.007237082,0.00889422,0.010551359,,,
3.39,0.007293163,0.008957893,0.010622623,,,
3.4,0.007349507,0.009021829,0.010694152,,,
3.41,0.007406113,0.00908603,0.010765947,,,
3.42,0.007462983,0.009150496,0.010838008,,,
3.43,0.007520117,0.009215226,0.010910335,,,
3.44,0.007577514,0.009280221,0.010982928,,,
3.45,0.007635177,0.009345482,0.011055787,,,
3.46,0.007693104,0.009411008,0.011128913,,,
3.47,0.007751296,0.0094768,0.011202304,,,
3.48,0.007809755,0.009542859,0.011275963,,,
3.49,0.007868479,0.009609183,0.011349888,,,
3.5,0.00792747,0.009675775,0.01142408,,,
3.51,0.007986727,0.009742633,0.011498539,,,
3.52,0.008046252,0.009809759,0.011573265,,,
3.53,0.008106044,0.009877151,0.011648259,,,
3.54,0.008166104,0.009944812,0.01172352,,,
3.55,0.008226433,0.01001274,0.011799048,,,
3.56,0.00828703,0.010080937,0.011874844,,,
3.57,0.008347897,0.010149402,0.011950908,,,
3.58,0.008409033,0.010218136,0.012027239,,,
3.59,0.008470438,0.010287139,0.012103839,,,
3.6,0.008532114,0.010356411,0.012180707,,,
3.61,0.008594061,0.010425952,0.012257843,,,
3.62,0.008656278,0.010495763,0.012335247,,,
3.63,0.008718767,0.010565844,0.01241292,,,
3.64,0.008781527,0.010636195,0.012490862,,,
3.65,0.00884456,0.010706816,0.012569072,,,
3.66,0.008907865,0.010777708,0.012647551,,,
3.67,0.008971442,0.010848871,0.0127263,,,
3.68,0.009035293,0.010920305,0.012805317,,,
3.69,0.009099417,0.01099201,0.012884603,,,
3.7,0.009163816,0.011063987,0.012964159,,,
3.71,0.009228488,0.011136236,0.013043984,,,
3.72,0.009293435,0.011208757,0.013124079,,,
3.73,0.009358657,0.01128155,0.013204443,,,
3.74,0.009424154,0.011354616,0.013285078,,,
3.75,0.009489926,0.011427954,0.013365982,,,
3.76,0.009555975,0.011501565,0.013447156,,,
3.77,0.0096223,0.01157545,0.0135286,,,
3.78,0.009688902,0.011649608,0.013610314,,,
3.79,0.009755781,0.01172404,0.013692299,,,
3.8,0.009822937,0.011798745,0.013774554,,,
3.81,0.009890371,0.011873725,0.013857079,,,
3.82,0.009958082,0.011948979,0.013939875,,,
3.83,0.010026073,0.012024507,0.014022942,,,
3.84,0.010094342,0.012100311,0.014106279,,,
3.85,0.01016289,0.012176389,0.014189888,,,
3.86,0.010231717,0.012252742,0.014273767,,,
3.87,0.010300825,0.012329371,0.014357918,,,
3.88,0.010370212,0.012406276,0.014442339,,,
3.89,0.01043988,0.012483456,0.014527033,,,
3.9,0.010509829,0.012560913,0.014611997,,,
3.91,0.010580058,0.012638646,0.014697233,,,
3.92,0.01065057,0.012716655,0.01478274,,,
3.93,0.010721362,0.012794941,0.014868519,,,
3.94,0.010792437,0.012873504,0.01495457,,,
3.95,0.010863795,0.012952344,0.015040893,,,
3.96,0.010935435,0.013031461,0.015127487,,,
3.97,0.011007358,0.013110856,0.015214354,,,
3.98,0.011079565,0.013190529,0.015301492,,,
3.99,0.011152056,0.013270479,0.015388903,,,
4,0.01122483,0.013350708,0.015476586,,,
4.01,0.011297889,0.013431215,0.015564542,,,
4.02,0.011371233,0.013512001,0.01565277,,,
4.03,0.011444861,0.013593066,0.01574127,,,
4.04,0.011518775,0.013674409,0.015830043,,,
4.05,0.011592975,0.013756032,0.015919088,,,
4.06,0.01166746,0.013837934,0.016008407,,,
4.07,0.011742232,0.013920115,0.016097998,,,
4.08,0.01181729,0.014002576,0.016187862,,,
4.09,0.011892636,0.014085317,0.016277999,,,
4.1,0.011968268,0.014168339,0.016368409,,,
4.11,0.012044188,0.01425164,0.016459092,,,
4.12,0.012120396,0.014335223,0.016550049,,,
4.13,0.012196892,0.014419085,0.016641279,,,
4.14,0.012273677,0.014503229,0.016732782,,,
4.15,0.01235075,0.014587654,0.016824558,,,
4.16,0.012428112,0.01467236,0.016916608,,,
4.17,0.012505764,0.014757348,0.017008932,,,
4.18,0.012583705,0.014842617,0.017101529,,,
4.19,0.012661936,0.014928168,0.017194399,,,
4.2,0.012740458,0.015014001,0.017287544,,,
4.21,0.01281927,0.015100116,0.017380962,,,
4.22,0.012898373,0.015186514,0.017474654,,,
4.23,0.012977767,0.015273194,0.017568621,,,
4.24,0.013057452,0.015360156,0.017662861,,,
4.25,0.013137429,0.015447402,0.017757375,,,
4.26,0.013217698,0.015534931,0.017852163,,,
4.27,0.01329826,0.015622743,0.017947226,,,
4.28,0.013379114,0.015710838,0.018042563,,,
4.29,0.013460261,0.015799217,0.018138174,,,
4.3,0.013541701,0.01588788,0.018234059,,,
4.31,0.013623435,0.015976827,0.018330219,,,
4.32,0.013705462,0.016066058,0.018426653,,,
4.33,0.013787784,0.016155573,0.018523362,,,
4.34,0.013870399,0.016245372,0.018620345,,,
4.35,0.013953309,0.016335456,0.018717603,,,
4.36,0.014036515,0.016425825,0.018815136,,,
4.37,0.014120015,0.016516479,0.018912944,,,
4.38,0.014203811,0.016607418,0.019011026,,,
4.39,0.014287902,0.016698642,0.019109383,,,
4.4,0.014372289,0.016790152,0.019208015,,,
4.41,0.014456973,0.016881947,0.019306921,,,
4.42,0.014541953,0.016974028,0.019406103,,,
4.43,0.01462723,0.017066395,0.01950556,,,
4.44,0.014712804,0.017159048,0.019605292,,,
4.45,0.014798675,0.017251987,0.019705299,,,
4.46,0.014884844,0.017345212,0.019805581,,,
4.47,0.01497131,0.017438724,0.019906138,,,
4.48,0.015058075,0.017532523,0.020006971,,,
4.49,0.015145138,0.017626608,0.020108078,,,
4.5,0.0152325,0.017720981,0.020209461,,,
4.51,0.015320161,0.01781564,0.02031112,,,
4.52,0.015408121,0.017910587,0.020413053,,,
4.53,0.01549638,0.018005821,0.020515263,,,
4.54,0.015584939,0.018101343,0.020617747,,,
4.55,0.015673798,0.018197153,0.020720507,,,
4.56,0.015762957,0.01829325,0.020823543,,,
4.57,0.015852416,0.018389635,0.020926854,,,
4.58,0.015942177,0.018486309,0.021030441,,,
4.59,0.016032238,0.01858327,0.021134303,,,
4.6,0.0161226,0.018680521,0.021238441,,,
4.61,0.016213264,0.018778059,0.021342855,,,
4.62,0.016304229,0.018875887,0.021447544,,,
4.63,0.016395497,0.018974003,0.021552509,,,
4.64,0.016487066,0.019072408,0.02165775,,,
4.65,0.016578938,0.019171102,0.021763266,,,
4.66,0.016671113,0.019270086,0.021869059,,,
4.67,0.01676359,0.019369359,0.021975127,,,
4.68,0.016856371,0.019468921,0.022081471,,,
4.69,0.016949455,0.019568773,0.022188091,,,
4.7,0.017042843,0.019668915,0.022294987,,,
4.71,0.017136534,0.019769346,0.022402159,,,
4.72,0.01723053,0.019870068,0.022509606,,,
4.73,0.01732483,0.01997108,0.02261733,,,
4.74,0.017419434,0.020072382,0.02272533,,,
4.75,0.017514343,0.020173974,0.022833605,,,
4.76,0.017609558,0.020275857,0.022942157,,,
4.77,0.017705077,0.020378031,0.023050985,,,
4.78,0.017800902,0.020480495,0.023160088,,,
4.79,0.017897033,0.02058325,0.023269468,,,
4.8,0.017993469,0.020686297,0.023379124,,,
4.81,0.018090212,0.020789634,0.023489056,,,
4.82,0.018187261,0.020893262,0.023599264,,,
4.83,0.018284617,0.020997182,0.023709748,,,
4.84,0.018382279,0.021101394,0.023820508,,,
4.85,0.018480249,0.021205897,0.023931544,,,
4.86,0.018578525,0.021310691,0.024042857,,,
4.87,0.01867711,0.021415778,0.024154446,,,
4.88,0.018776002,0.021521156,0.02426631,,,
4.89,0.018875201,0.021626826,0.024378451,,,
4.9,0.018974709,0.021732789,0.024490868,,,
4.91,0.019074525,0.021839043,0.024603561,,,
4.92,0.01917465,0.02194559,0.024716531,,,
4.93,0.019275083,0.02205243,0.024829776,,,
4.94,0.019375826,0.022159562,0.024943298,,,
4.95,0.019476877,0.022266986,0.025057096,,,
4.96,0.019578238,0.022374704,0.02517117,,,
4.97,0.019679908,0.022482714,0.02528552,,,
4.98,0.019781888,0.022591017,0.025400146,,,
4.99,0.019884178,0.022699614,0.025515049,,,
5,0.019986778,0.022808503,0.025630228,,,
5.01,0.020089689,0.022917686,0.025745683,,,
5.02,0.02019291,0.023027162,0.025861414,,,
5.03,0.020296442,0.023136931,0.025977421,,,
5.04,0.020400284,0.023246994,0.026093704,,,
5.05,0.020504438,0.023357351,0.026210263,,,
5.06,0.020608903,0.023468001,0.026327099,,,
5.07,0.02071368,0.023578945,0.026444211,,,
5.08,0.020818768,0.023690183,0.026561598,,,
5.09,0.020924169,0.023801715,0.026679262,,,
5.1,0.021029881,0.023913542,0.026797202,,,
5.11,0.021135905,0.024025662,0.026915418,,,
5.12,0.021242243,0.024138076,0.02703391,,,
5.13,0.021348892,0.024250785,0.027152679,,,
5.14,0.021455855,0.024363789,0.027271723,,,
5.15,0.02156313,0.024477087,0.027391043,,,
5.16,0.021670719,0.024590679,0.027510639,,,
5.17,0.021778621,0.024704566,0.027630511,,,
5.18,0.021886836,0.024818748,0.02775066,,,
5.19,0.021995365,0.024933224,0.027871084,,,
5.2,0.022104208,0.025047996,0.027991784,,,
5.21,0.022213365,0.025163063,0.02811276,,,
5.22,0.022322836,0.025278424,0.028234012,,,
5.23,0.022432622,0.025394081,0.028355539,,,
5.24,0.022542722,0.025510033,0.028477343,,,
5.25,0.022653137,0.02562628,0.028599422,,,
5.26,0.022763867,0.025742822,0.028721778,,,
5.27,0.022874912,0.02585966,0.028844409,,,
5.28,0.022986272,0.025976794,0.028967316,,,
5.29,0.023097947,0.026094223,0.029090498,,,
5.3,0.023209938,0.026211947,0.029213956,,,
5.31,0.023322245,0.026329968,0.02933769,,,
5.32,0.023434868,0.026448284,0.0294617,,,
5.33,0.023547806,0.026566896,0.029585985,,,
5.34,0.023661061,0.026685803,0.029710546,,,
5.35,0.023774632,0.026805007,0.029835382,,,
5.36,0.02388852,0.026924507,0.029960494,,,
5.37,0.024002724,0.027044303,0.030085881,,,
5.38,0.024117245,0.027164394,0.030211544,,,
5.39,0.024232083,0.027284782,0.030337482,,,
5.4,0.024347238,0.027405467,0.030463696,,,
5.41,0.02446271,0.027526447,0.030590185,,,
5.42,0.024578499,0.027647724,0.030716949,,,
