Fatalities,,,,parameters of the mean loss curve,,
Run-up [m],mean-1sigma loss curve,mean loss curve,mean+1sigma loss curve,median,logarithmic standard deviation,epistemic uncertainty
2.06,0.000535225,0.000885292,0.001235359,,,
2.07,0.000547787,0.000903012,0.001258237,,,
2.08,0.00056055,0.000920971,0.001281392,,,
2.09,0.000573517,0.000939172,0.001304827,,,
2.1,0.00058669,0.000957616,0.001328542,,,
2.11,0.000600069,0.000976304,0.00135254,,,
2.12,0.000613657,0.000995239,0.00137682,,,
2.13,0.000627455,0.00101442,0.001401385,,,
2.14,0.000641465,0.001033851,0.001426236,,,
2.15,0.000655689,0.001053532,0.001451374,,,
2.16,0.000670128,0.001073464,0.001476801,,,
2.17,0.000684783,0.00109365,0.001502517,,,
2.18,0.000699657,0.00111409,0.001528524,,,
2.19,0.00071475,0.001134786,0.001554823,,,
2.2,0.000730065,0.00115574,0.001581415,,,
2.21,0.000745603,0.001176953,0.001608303,,,
2.22,0.000761366,0.001198426,0.001635485,,,
2.23,0.000777355,0.00122016,0.001662965,,,
2.24,0.000793571,0.001242157,0.001690744,,,
2.25,0.000810017,0.001264419,0.001718821,,,
2.26,0.000826694,0.001286947,0.001747199,,,
2.27,0.000843604,0.001309741,0.001775879,,,
2.28,0.000860747,0.001332804,0.001804861,,,
2.29,0.000878127,0.001356137,0.001834148,,,
2.3,0.000895743,0.001379741,0.00186374,,,
2.31,0.000913598,0.001403618,0.001893638,,,
2.32,0.000931692,0.001427768,0.001923843,,,
2.33,0.000950029,0.001452193,0.001954357,,,
2.34,0.000968609,0.001476895,0.00198518,,,
2.35,0.000987433,0.001501874,0.002016314,,,
2.36,0.001006504,0.001527132,0.00204776,,,
2.37,0.001025823,0.00155267,0.002079518,,,
2.38,0.00104539,0.00157849,0.00211159,,,
2.39,0.001065208,0.001604593,0.002143977,,,
2.4,0.001085278,0.001630979,0.00217668,,,
2.41,0.001105602,0.001657651,0.0022097,,,
2.42,0.001126181,0.001684609,0.002243037,,,
2.43,0.001147017,0.001711855,0.002276694,,,
2.44,0.00116811,0.00173939,0.00231067,,,
2.45,0.001189463,0.001767215,0.002344967,,,
2.46,0.001211076,0.001795331,0.002379586,,,
2.47,0.001232952,0.00182374,0.002414527,,,
2.48,0.001255091,0.001852442,0.002449793,,,
2.49,0.001277496,0.001881439,0.002485383,,,
2.5,0.001300166,0.001910732,0.002521298,,,
2.51,0.001323105,0.001940323,0.00255754,,,
2.52,0.001346313,0.001970211,0.002594109,,,
2.53,0.001369792,0.002000399,0.002631007,,,
2.54,0.001393542,0.002030888,0.002668234,,,
2.55,0.001417566,0.002061678,0.002705791,,,
2.56,0.001441865,0.002092772,0.002743679,,,
2.57,0.001466439,0.002124169,0.002781898,,,
2.58,0.001491291,0.002155871,0.00282045,,,
2.59,0.001516422,0.002187879,0.002859336,,,
2.6,0.001541833,0.002220194,0.002898556,,,
2.61,0.001567525,0.002252818,0.002938111,,,
2.62,0.0015935,0.002285751,0.002978002,,,
2.63,0.001619759,0.002318994,0.003018229,,,
2.64,0.001646304,0.002352549,0.003058794,,,
2.65,0.001673135,0.002386416,0.003099698,,,
2.66,0.001700254,0.002420597,0.00314094,,,
2.67,0.001727662,0.002455092,0.003182522,,,
2.68,0.00175536,0.002489903,0.003224445,,,
2.69,0.00178335,0.00252503,0.003266709,,,
2.7,0.001811633,0.002560474,0.003309316,,,
2.71,0.00184021,0.002596237,0.003352264,,,
2.72,0.001869083,0.00263232,0.003395557,,,
2.73,0.001898252,0.002668723,0.003439194,,,
2.74,0.00192772,0.002705447,0.003483175,,,
2.75,0.001957486,0.002742494,0.003527502,,,
2.76,0.001987553,0.002779864,0.003572175,,,
2.77,0.002017921,0.002817558,0.003617196,,,
2.78,0.002048592,0.002855578,0.003662564,,,
2.79,0.002079566,0.002893923,0.00370828,,,
2.8,0.002110846,0.002932595,0.003754345,,,
2.81,0.002142432,0.002971595,0.003800759,,,
2.82,0.002174325,0.003010924,0.003847524,,,
2.83,0.002206527,0.003050583,0.003894639,,,
2.84,0.002239038,0.003090572,0.003942106,,,
2.85,0.002271861,0.003130893,0.003989924,,,
2.86,0.002304995,0.003171545,0.004038096,,,
2.87,0.002338442,0.003212531,0.00408662,,,
2.88,0.002372203,0.003253851,0.004135498,,,
2.89,0.00240628,0.003295505,0.00418473,,,
2.9,0.002440673,0.003337495,0.004234318,,,
2.91,0.002475383,0.003379822,0.00428426,,,
2.92,0.002510412,0.003422485,0.004334559,,,
2.93,0.002545761,0.003465487,0.004385213,,,
2.94,0.00258143,0.003508827,0.004436225,,,
2.95,0.00261742,0.003552507,0.004487595,,,
2.96,0.002653734,0.003596528,0.004539322,,,
2.97,0.002690371,0.003640889,0.004591408,,,
2.98,0.002727333,0.003685593,0.004643852,,,
2.99,0.002764621,0.003730639,0.004696656,,,
3,0.002802236,0.003776028,0.00474982,,,
3.01,0.002840179,0.003821762,0.004803345,,,
3.02,0.00287845,0.00386784,0.00485723,,,
3.03,0.002917052,0.003914264,0.004911477,,,
3.04,0.002955984,0.003961034,0.004966085,,,
3.05,0.002995248,0.004008151,0.005021055,,,
3.06,0.003034844,0.004055616,0.005076388,,,
3.07,0.003074775,0.004103429,0.005132084,,,
3.08,0.00311504,0.004151592,0.005188143,,,
3.09,0.00315564,0.004200104,0.005244567,,,
3.1,0.003196578,0.004248966,0.005301354,,,
3.11,0.003237852,0.004298179,0.005358506,,,
3.12,0.003279465,0.004347744,0.005416023,,,
3.13,0.003321418,0.004397661,0.005473905,,,
3.14,0.00336371,0.004447931,0.005532152,,,
3.15,0.003406344,0.004498555,0.005590766,,,
3.16,0.00344932,0.004549533,0.005649746,,,
3.17,0.003492638,0.004600866,0.005709093,,,
3.18,0.003536301,0.004652554,0.005768807,,,
3.19,0.003580307,0.004704598,0.005828889,,,
3.2,0.00362466,0.004756999,0.005889338,,,
3.21,0.003669358,0.004809756,0.005950155,,,
3.22,0.003714404,0.004862872,0.00601134,,,
3.23,0.003759797,0.004916346,0.006072894,,,
3.24,0.00380554,0.004970178,0.006134816,,,
3.25,0.003851632,0.00502437,0.006197108,,,
3.26,0.003898074,0.005078922,0.00625977,,,
3.27,0.003944868,0.005133834,0.006322801,,,
3.28,0.003992013,0.005189108,0.006386202,,,
3.29,0.004039512,0.005244742,0.006449973,,,
3.3,0.004087364,0.005300739,0.006514115,,,
3.31,0.00413557,0.005357098,0.006578627,,,
3.32,0.004184131,0.005413821,0.00664351,,,
3.33,0.004233048,0.005470906,0.006708764,,,
3.34,0.004282322,0.005528356,0.00677439,,,
3.35,0.004331953,0.00558617,0.006840388,,,
3.36,0.004381942,0.005644349,0.006906757,,,
3.37,0.00443229,0.005702894,0.006973498,,,
3.38,0.004482997,0.005761804,0.007040611,,,
3.39,0.004534065,0.005821081,0.007108097,,,
3.4,0.004585493,0.005880724,0.007175955,,,
3.41,0.004637283,0.005940734,0.007244185,,,
3.42,0.004689435,0.006001112,0.007312789,,,
3.43,0.004741951,0.006061858,0.007381766,,,
3.44,0.004794829,0.006122973,0.007451116,,,
3.45,0.004848072,0.006184456,0.007520839,,,
3.46,0.00490168,0.006246308,0.007590936,,,
3.47,0.004955654,0.00630853,0.007661406,,,
3.48,0.005009993,0.006371122,0.00773225,,,
3.49,0.0050647,0.006434084,0.007803467,,,
3.5,0.005119774,0.006497417,0.007875059,,,
3.51,0.005175216,0.00656112,0.007947025,,,
3.52,0.005231027,0.006625196,0.008019365,,,
3.53,0.005287207,0.006689643,0.008092079,,,
3.54,0.005343756,0.006754462,0.008165168,,,
3.55,0.005400677,0.006819654,0.008238631,,,
3.56,0.005457968,0.006885218,0.008312468,,,
3.57,0.005515631,0.006951156,0.00838668,,,
3.58,0.005573666,0.007017467,0.008461267,,,
3.59,0.005632074,0.007084151,0.008536228,,,
3.6,0.005690855,0.00715121,0.008611565,,,
3.61,0.00575001,0.007218643,0.008687276,,,
3.62,0.005809539,0.007286451,0.008763362,,,
3.63,0.005869444,0.007354633,0.008839822,,,
3.64,0.005929723,0.007423191,0.008916658,,,
3.65,0.005990379,0.007492124,0.008993869,,,
3.66,0.006051411,0.007561433,0.009071454,,,
3.67,0.00611282,0.007631117,0.009149415,,,
3.68,0.006174606,0.007701178,0.00922775,,,
3.69,0.00623677,0.007771616,0.009306461,,,
3.7,0.006299313,0.00784243,0.009385547,,,
